Regional Economy,Statistic,Value,Footnote,Year,Unit of Measure,Sustainable Development Goal,ADB Country Code
Afghanistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,AFG
Armenia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.39,,2019,%,1.1.1.b,ARM
Azerbaijan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.09,,2019,%,1.1.1.b,AZE
Bangladesh,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",5.44,,2019,%,1.1.1.b,BAN
Bhutan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.83,,2019,%,1.1.1.b,BHU
Brunei Darussalam,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,BRU
Cambodia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",13.11,,2019,%,1.1.1.b,CAM
"China, People's Republic of","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.11,,2019,%,1.1.1.b,PRC
Cook Islands,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,COO
Fiji,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.41,,2019,%,1.1.1.b,FIJ
Georgia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",2.82,,2019,%,1.1.1.b,GEO
"Hong Kong, China","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,HKG
India,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",9.81,,2019,%,1.1.1.b,IND
Indonesia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",3.26,,2019,%,1.1.1.b,INO
Kazakhstan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0,,2019,%,1.1.1.b,KAZ
Kiribati,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,KIR
"Korea, Republic of","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0,,2019,%,1.1.1.b,KOR
Kyrgyz Republic,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.11,,2019,%,1.1.1.b,KGZ
Lao People's Democratic Republic,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",10.77,,2019,%,1.1.1.b,LAO
Malaysia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0,,2019,%,1.1.1.b,MAL
Maldives,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.1,,2019,%,1.1.1.b,MLD
Marshall Islands,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,RMI
"Micronesia, Federated States of","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,FSM
Mongolia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.04,,2019,%,1.1.1.b,MON
Myanmar,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.85,,2019,%,1.1.1.b,MYA
Nauru,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,NAU
Nepal,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",5.08,,2019,%,1.1.1.b,NEP
Niue,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,NIU
Pakistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",3.68,,2019,%,1.1.1.b,PAK
Palau,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,PLW
Papua New Guinea,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",30.03,,2019,%,1.1.1.b,PNG
Philippines,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",1.98,,2019,%,1.1.1.b,PHI
Samoa,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,SAM
Singapore,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,SIN
Solomon Islands,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",17.84,,2019,%,1.1.1.b,SOL
Sri Lanka,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.32,,2019,%,1.1.1.b,SRI
"Taipei,China","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.11,,2019,%,1.1.1.b,TAP
Tajikistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",2.49,,2019,%,1.1.1.b,TAJ
Thailand,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.04,,2019,%,1.1.1.b,THA
Timor-Leste,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",15.45,,2019,%,1.1.1.b,TIM
Tonga,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,TON
Turkmenistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.61,,2019,%,1.1.1.b,TKM
Tuvalu,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,TUV
Uzbekistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",6.74,,2019,%,1.1.1.b,UZB
Vanuatu,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",,,,%,1.1.1.b,VAN
Viet Nam,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",1.71,,2019,%,1.1.1.b,VIE
Afghanistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,AFG
Armenia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.24,,2019,%,1.1.1.b,ARM
Azerbaijan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.11,,2019,%,1.1.1.b,AZE
Bangladesh,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",6.88,,2019,%,1.1.1.b,BAN
Bhutan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.74,,2019,%,1.1.1.b,BHU
Brunei Darussalam,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,BRU
Cambodia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",16.9,,2019,%,1.1.1.b,CAM
"China, People's Republic of","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1.b,PRC
Cook Islands,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,COO
Fiji,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.49,,2019,%,1.1.1.b,FIJ
Georgia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",3.28,,2019,%,1.1.1.b,GEO
