GID_3,Division Name,Zila Name,Upazila Name,Total Population (N),Rural Population (%),Working-age population (N),Number of Households (N),Number of poor (N),Poverty headcount ratio (%),"Poverty headcount ratio, National avg (%)","Poverty headcount ratio, Rank",Number of extreme poor (N),Extreme poverty headcount ratio (%),"Extreme poverty headcount ratio, National avg (%)","Extreme poverty headcount ratio, Rank",Primary employment: Agriculture (N),Primary employment: Agriculture (%),"Primary employment: Agriculture, National avg (%)","Primary employment: Agriculture, Rank",Primary employment: Industry (N),Primary employment: Industry (%),"Primary employment: Industry, National avg (%)","Primary employment: Industry, Rank",Primary employment: Services (N),Primary employment: Services (%),"Primary employment: Services, National avg (%)","Primary employment: Services, Rank",Households with Electricity (N),Households with Electricity (%),"Households with Electricity, National avg (%)","Households with Electricity, Rank",Households with flush toilet (N),Households with flush toilet (%),"Households with flush toilet, National avg (%)","Households with flush toilet, Rank","Households with non-flush, latrine (N)","Households with non-flush, latrine (%)","Households with non-flush, latrine, National avg (%)","Households with non-flush, latrine, Rank",Literate population (18 years and older) (N),Literate population (18 years and older) (%),"Literate population (18 years and older), National avg (%)","Literate population (18 years and older), Rank",Educational attainment: Less than primary completed (18 years and older) (N),Educational attainment: Less than primary completed (18 years and older) (%),"Educational attainment: Less than primary completed (18 years and older), National avg (%)","Educational attainment: Less than primary completed (18 years and older), Rank",Educational attainment: Primary completed (18 years and older) (N),Educational attainment: Primary completed (18 years and older) (%),"Educational attainment: Primary completed (18 years and older), National avg (%)","Educational attainment: Primary completed (18 years and older), Rank",Educational attainment: Secondary completed (18 years and older) (N),Educational attainment: Secondary completed (18 years and older) (%),"Educational attainment: Secondary completed (18 years and older), National avg (%)","Educational attainment: Secondary completed (18 years and older), Rank",Educational attainment: University completed (18 years and older) (N),Educational attainment: University completed (18 years and older) (%),"Educational attainment: University completed (18 years and older), National avg (%)","Educational attainment: University completed (18 years and older), Rank",School attendance among 6-18 years old (N),School attendance among 6-18 years old (%),"School attendance among 6-18 years old, National avg (%)","School attendance among 6-18 years old, Rank",School attendance among 6-10 years old (N),School attendance among 6-10 years old (%),"School attendance among 6-10 years old, National avg (%)","School attendance among 6-10 years old, Rank",School attendance among 11-13 years old (N),School attendance among 11-13 years old (%),"School attendance among 11-13 years old, National avg (%)","School attendance among 11-13 years old, Rank",School attendance among 14-15 years old (N),School attendance among 14-15 years old (%),"School attendance among 14-15 years old, National avg (%)","School attendance among 14-15 years old, Rank",School attendance among 16-18 years old (N),School attendance among 16-18 years old (%),"School attendance among 16-18 years old, National avg (%)","School attendance among 16-18 years old, Rank",Population in National bottom 40% (N),Percentage of population in bottom 40% (%),"Percentage of population in bottom 40%, national avg (%)","Percentage of population in bottom 40%, Rank",Number of underweight children (N),Percentage of underweight children (%),"Percentage of underweight children, National avg (%)","Percentage of underweight children, Rank",Number of severely underweight children (N),Percentage of severely underweight children (%),"Percentage of severely underweight children, National avg (%)","Percentage of severely underweight children, Rank (%)",Number of stunted children (N),Percentage of stunted children (%),"Percentage of stunted children, National avg (%)","Percentage of stunted children, Rank",Number of severely stunted children (N),Percentage of severely stunted children (%),"Percentage of severely stunted children, National avg (%)","Percentage of severely stunted children, Rank (%)",Households with tap water (N),Households with tap water (%),"Households with tap water, National avg (%)","Households with tap water, Rank",Households with tubewell water (N),Households with tubewell water (%),"Households with tubewell water, National avg (%)","Households with tubewell water, Rank",Population between 0 and 6 years old (N),Population between 0 and 6 years old (%),"Population between 0 and 6 years old, National avg (%)","Population between 0 and 6 years old , Rank",Population between 7 and 14 years old (N),Population between 7 and 14 years old (%),"Population between 7 and 14 years old, National avg (%)","Population between 7 and 14 years old, Rank",Population between 15 and 64 years old (N),Population between 15 and 64 years old (%),"Population between 15 and 64 years old, National avg (%)","Population between 15 and 64 years old, Rank",Population ages 65 and above (N),Population ages 65 and above (%),"Population ages 65 and above, National avg (%)","Population ages 65 and above, Rank","Households without toilet, open defecation (N)","Households without toilet, open defecation (%)","Households without toilet, open defecation, National avg (%)","Households without toilet, open defecation, Rank"
BGD.1.2.1_1,BARISAL,BARISAL,AGAILJHARA,148820,93.4,87360,32840,76062,51.1,31.5,503,56904,38.2,17.60000038,518,24700,64,47.4,248,2960,7.7,14.9,289,10920,28.3,37.7,288,15760,48,56.5,279,12840,39.1,25.1,106,15020,45.7,38.7,386,55460,62.6,50.5,86,36280,40.9,50.3,436,37340,42.1,33.1,46,12440,14,12.8,129,2580,2.9,3.8,153,37360,80.9,69.7,7,20160,87.7,78.4,7,10500,88.2,77.3,15,4240,70.9,58,59,2460,46.2,34.7,64,103516,68.3,40,496,4104,30.4,33.8,100,877,6.5,7.9,98,4974,36.8,40.7,77,2766,20.5,23.1,121,120,0.4,10.7,406,28920,88.1,83.5,377,20820,14,15.5,376,31180,21,19.1,145,87360,58.7,60.7,324,9460,6.4,4.7,35,800,2.4,7.7,170
BGD.1.1.1_1,BARISAL,BARGUNA,AMTALI,269300,91.9,159200,63220,61317,22.8,31.5,161,32207,12,17.60000038,189,53000,72.1,47.4,146,3640,5,14.9,406,16840,22.9,37.7,384,14100,22.3,56.5,508,13700,21.7,25.1,271,28780,45.5,38.7,385,85620,51.9,50.5,197,84200,51.1,50.3,310,63060,38.3,33.1,123,14380,8.7,12.8,387,3220,2,3.8,319,56940,74.8,69.7,139,35480,81.2,78.4,195,14040,79.5,77.3,275,4520,64,58,186,2900,37.7,34.7,222,74390,27.1,40,156,9237,34.5,33.8,260,2131,8,7.9,257,10543,39.4,40.7,165,5984,22.4,23.1,225,780,1.2,10.7,256,61160,96.7,83.5,107,41440,15.4,15.5,285,53560,19.9,19.1,230,159200,59.1,60.7,306,15100,5.6,4.7,131,2820,4.5,7.7,272
BGD.1.2.2_1,BARISAL,BARISAL,BABUGANJ,139000,93.2,81000,31680,67707,48.7,31.5,483,51193,36.8,17.60000038,513,17720,51.7,47.4,346,3440,10,14.9,214,13120,38.3,37.7,181,19880,62.8,56.5,169,10320,32.6,25.1,144,17480,55.2,38.7,483,56800,68.9,50.5,60,27180,33,50.3,482,39800,48.3,33.1,4,13400,16.3,12.8,90,2020,2.5,3.8,220,34740,80.1,69.7,12,17940,85.1,78.4,36,10300,88.5,77.3,11,3980,73.2,58,33,2520,48.5,34.7,45,90606,64,40,475,3752,28.9,33.8,79,786,6.1,7.9,75,4675,36.1,40.7,65,2573,19.9,23.1,94,240,0.8,10.7,316,30900,97.5,83.5,55,19960,14.4,15.5,342,29440,21.2,19.1,126,81000,58.3,60.7,339,8600,6.2,4.7,48,100,0.3,7.7,34
BGD.1.2.3_1,BARISAL,BARISAL,BAKERGANJ,312060,93.6,178500,71540,172804,55.4,31.5,518,131622,42.2,17.60000038,534,36540,50.5,47.4,360,8160,11.3,14.9,181,27660,38.2,37.7,182,32800,45.8,56.5,295,21100,29.5,25.1,171,33960,47.5,38.7,406,112140,61.8,50.5,94,72760,40.1,50.3,445,79220,43.6,33.1,31,25100,13.8,12.8,138,4520,2.5,3.8,212,76220,78.6,69.7,30,42740,83.9,78.4,82,20280,86.6,77.3,35,8560,71.7,58,49,4640,43.6,34.7,100,229130,72.1,40,512,9988,31.6,33.8,139,2199,7,7.9,145,12286,38.9,40.7,145,6982,22.1,23.1,212,80,0.1,10.7,504,69720,97.5,83.5,59,48480,15.5,15.5,268,66160,21.2,19.1,125,178500,57.2,60.7,384,18920,6.1,4.7,65,1480,2.1,7.7,145
BGD.1.1.2_1,BARISAL,BARGUNA,BAMNA,77140,90.2,47440,19540,13152,17,31.5,106,6866,8.9,17.60000038,136,13160,59.5,47.4,285,3100,14,14.9,124,5860,26.5,37.7,320,5680,29.1,56.5,454,6660,34.1,25.1,134,9740,49.8,38.7,435,30640,62.3,50.5,90,19040,38.7,50.3,453,22840,46.4,33.1,13,6140,12.5,12.8,175,1180,2.4,3.8,231,15460,76.5,69.7,81,9400,84.2,78.4,66,3660,85.1,77.3,73,1320,58.9,58,300,1080,43.2,34.7,109,12331,15.7,40,77,2292,31.1,33.8,123,494,6.7,7.9,113,2830,38.5,40.7,126,1596,21.7,23.1,189,0,0,10.7,542,19160,98.1,83.5,24,11340,14.7,15.5,322,13600,17.6,19.1,389,47440,61.5,60.7,209,4760,6.2,4.7,51,320,1.6,7.7,122
BGD.1.2.4_1,BARISAL,BARISAL,BANARI PARA,148520,89.1,88660,34200,77601,52.2,31.5,507,56620,38.1,17.60000038,515,21220,53.6,47.4,331,2260,5.7,14.9,362,16100,40.7,37.7,166,16200,47.4,56.5,285,20140,58.9,25.1,26,11800,34.5,38.7,224,61320,67.6,50.5,67,33800,37.3,50.3,460,41600,45.9,33.1,16,12560,13.9,12.8,134,2700,3,3.8,148,33780,79,69.7,21,18120,86,78.4,15,9660,84.7,77.3,90,3660,72,58,43,2340,45,34.7,82,104888,69.3,40,501,4127,29.6,33.8,88,873,6.3,7.9,83,5203,37.3,40.7,94,2903,20.8,23.1,139,120,0.4,10.7,412,33840,98.9,83.5,3,20740,14,15.5,381,29100,19.6,19.1,253,88660,59.7,60.7,284,10020,6.7,4.7,12,80,0.2,7.7,28
BGD.1.1.3_1,BARISAL,BARGUNA,BARGUNA SADAR,263080,87.9,158080,62080,50616,19.2,31.5,123,26016,9.9,17.60000038,155,38480,56.9,47.4,310,4260,6.3,14.9,340,24920,36.8,37.7,195,19760,31.8,56.5,425,15880,25.6,25.1,217,29280,47.2,38.7,402,93700,58.1,50.5,125,67700,42,50.3,429,69260,42.9,33.1,37,19240,11.9,12.8,205,5080,3.1,3.8,130,58660,80.7,69.7,8,32900,86.3,78.4,11,15680,86.2,77.3,41,6340,74.4,58,22,3740,47.5,34.7,54,51996,19.4,40,108,8183,31.7,33.8,148,1801,7,7.9,146,10030,38.9,40.7,143,5706,22.1,23.1,213,220,0.4,10.7,411,58640,94.5,83.5,232,38380,14.6,15.5,332,51560,19.6,19.1,252,158080,60.1,60.7,270,15060,5.7,4.7,109,1780,2.9,7.7,207
BGD.1.2.5_1,BARISAL,BARISAL,BARISAL SADAR (KOTWALI),515940,36,326860,114780,257404,49.9,31.5,492,159706,31,17.60000038,486,26140,17.6,47.4,472,20380,13.7,14.9,132,102100,68.7,37.7,48,92400,80.5,56.5,100,39320,34.3,25.1,133,52840,46,38.7,390,228740,71.2,50.5,49,94560,29.4,50.3,499,123640,38.5,33.1,109,76160,23.7,12.8,47,26940,8.4,3.8,50,111800,74.6,69.7,149,58780,83.9,78.4,83,29020,79.5,77.3,277,13360,66.1,58,154,10640,45.9,34.7,66,324402,61.7,40,460,12520,27.3,33.8,58,2572,5.6,7.9,60,17677,38.5,40.7,130,9960,21.7,23.1,190,7140,6.2,10.7,119,105140,91.6,83.5,315,68900,13.4,15.5,422,95300,18.5,19.1,343,326860,63.4,60.7,149,24880,4.8,4.7,307,1320,1.2,7.7,88
BGD.1.5.1_1,BARISAL,PATUAKHALI,BAUPHAL,301220,94.6,172920,67840,72143,24,31.5,174,41755,13.9,17.60000038,222,37960,50.8,47.4,358,8860,11.9,14.9,162,27860,37.3,37.7,191,26420,38.9,56.5,370,13280,19.6,25.1,311,35100,51.7,38.7,453,100100,56.9,50.5,139,77820,44.2,50.3,410,68220,38.7,33.1,104,25480,14.5,12.8,120,4540,2.6,3.8,192,70400,76.3,69.7,88,39520,80.3,78.4,239,18300,83.3,77.3,147,7420,71.2,58,54,5160,48.7,34.7,41,78443,25.6,40,147,10504,33.9,33.8,229,2411,7.8,7.9,229,12536,40.5,40.7,244,7206,23.3,23.1,303,120,0.2,10.7,480,66040,97.3,83.5,66,47660,15.8,15.5,250,63160,21,19.1,142,172920,57.4,60.7,368,17480,5.8,4.7,100,760,1.1,7.7,86
BGD.1.1.4_1,BARISAL,BARGUNA,BETAGI,118260,89.3,69280,27920,23158,19.6,31.5,128,12215,10.3,17.60000038,161,17620,62.5,47.4,263,2140,7.6,14.9,293,8440,29.9,37.7,268,9480,34,56.5,407,8060,28.9,25.1,177,13860,49.6,38.7,432,41020,57.4,50.5,132,29540,41.3,50.3,433,29980,41.9,33.1,50,10120,14.2,12.8,124,1840,2.6,3.8,194,27920,79.7,69.7,15,16100,84.6,78.4,50,6900,86.7,77.3,32,3000,74.6,58,21,1920,47.8,34.7,52,22772,18.9,40,104,3630,31.8,33.8,155,797,7,7.9,148,4300,37.7,40.7,102,2442,21.4,23.1,168,20,0.1,10.7,525,26500,94.9,83.5,216,17620,14.9,15.5,308,23700,20,19.1,214,69280,58.6,60.7,328,7660,6.5,4.7,28,260,0.9,7.7,69
