GID_3,Division Name,Zila Name,Upazila Name,Zila Correction,Upazila Correction
BGD.1.2.1_1,BARISAL,BARISAL,AGAILJHARA,,
BGD.1.1.1_1,BARISAL,BARGUNA,AMTALI,,
BGD.1.2.2_1,BARISAL,BARISAL,BABUGANJ,,
BGD.1.2.3_1,BARISAL,BARISAL,BAKERGANJ,,
BGD.1.1.2_1,BARISAL,BARGUNA,BAMNA,,
BGD.1.2.4_1,BARISAL,BARISAL,BANARI PARA,,
BGD.1.1.3_1,BARISAL,BARGUNA,BARGUNA SADAR,,
BGD.1.2.5_1,BARISAL,BARISAL,BARISAL SADAR (KOTWALI),,
BGD.1.5.1_1,BARISAL,PATUAKHALI,BAUPHAL,,
BGD.1.1.4_1,BARISAL,BARGUNA,BETAGI,,
BGD.1.6.1_1,BARISAL,PIROJPUR,BHANDARIA,,
BGD.1.3.1_1,BARISAL,BHOLA,BHOLA SADAR,,
BGD.1.3.2_1,BARISAL,BHOLA,BURHANUDDIN,,
BGD.1.3.3_1,BARISAL,BHOLA,CHAR FASSON,,
BGD.1.5.2_1,BARISAL,PATUAKHALI,DASHMINA,,
BGD.1.3.4_1,BARISAL,BHOLA,DAULAT KHAN,,Daulatkhan
BGD.1.5.3_1,BARISAL,PATUAKHALI,DUMKI,,
BGD.1.5.4_1,BARISAL,PATUAKHALI,GALACHIPA,,
BGD.1.2.6_1,BARISAL,BARISAL,GAURNADI,,
BGD.1.2.7_1,BARISAL,BARISAL,HIZLA,,
BGD.1.4.1_1,BARISAL,JHALOKATI,JHALOKATI SADAR,,
BGD.1.5.5_1,BARISAL,PATUAKHALI,KALA PARA,,
BGD.1.4.2_1,BARISAL,JHALOKATI,KANTHALIA,,
BGD.1.6.2_1,BARISAL,PIROJPUR,KAWKHALI,,
BGD.1.3.5_1,BARISAL,BHOLA,LALMOHAN,,
BGD.1.3.6_1,BARISAL,BHOLA,MANPURA,,
BGD.1.6.3_1,BARISAL,PIROJPUR,MATHBARIA,,
BGD.1.2.8_1,BARISAL,BARISAL,MEHENDIGANJ,,
BGD.1.5.6_1,BARISAL,PATUAKHALI,MIRZAGANJ,,
BGD.1.2.9_1,BARISAL,BARISAL,MULADI,,
BGD.1.4.3_1,BARISAL,JHALOKATI,NALCHITY,,
BGD.1.6.4_1,BARISAL,PIROJPUR,NAZIRPUR,,
BGD.1.6.5_1,BARISAL,PIROJPUR,NESARABAD (SWARUPKATI),,
BGD.1.1.5_1,BARISAL,BARGUNA,PATHARGHATA,,
BGD.1.5.7_1,BARISAL,PATUAKHALI,PATUAKHALI SADAR,,
BGD.1.6.6_1,BARISAL,PIROJPUR,PIROJPUR SADAR,,
BGD.1.4.4_1,BARISAL,JHALOKATI,RAJAPUR,,
BGD.1.3.7_1,BARISAL,BHOLA,TAZUMUDDIN,,
BGD.1.2.10_1,BARISAL,BARISAL,WAZIRPUR,,
BGD.1.6.7_1,BARISAL,PIROJPUR,ZIANAGAR,,
BGD.2.2.1_1,CHITTAGONG,BRAHMANBARIA,AKHAURA,Brahamanbaria,
BGD.2.1.1_1,CHITTAGONG,BANDARBAN,ALIKADAM,,
BGD.2.4.1_1,CHITTAGONG,CHITTAGONG,ANOWARA,,
BGD.2.2.2_1,CHITTAGONG,BRAHMANBARIA,ASHUGANJ,Brahamanbaria,
BGD.2.11.1_1,CHITTAGONG,RANGAMATI,BAGHAICHHARI,,Baghai Chhari
BGD.2.4.2_1,CHITTAGONG,CHITTAGONG,BAKALIA,,
BGD.2.2.3_1,CHITTAGONG,BRAHMANBARIA,BANCHHARAMPUR,Brahamanbaria,
BGD.2.1.2_1,CHITTAGONG,BANDARBAN,BANDARBAN SADAR,,
BGD.2.4.3_1,CHITTAGONG,CHITTAGONG,BANSHKHALI,,
BGD.2.11.2_1,CHITTAGONG,RANGAMATI,BARKAL,,
BGD.2.5.1_1,CHITTAGONG,COMILLA,BARURA,,
